interacting_pair	variable	pvalue	mean	part1	part2	tissue	Type1	Type2	Type	cell1	cell2
125	ACE2_GHRL	Epi_FABP4.CD8_TEFF	1	0	Epi_FABP4	CD8_TEFF	Bladder_cDNA	Epi	CD8_TEFF	Epi_CD8	Epi	CD8
126	ACE2_GHRL	Epi_FABP4.CD8_TEM	1	0	Epi_FABP4	CD8_TEM	Bladder_cDNA	Epi	CD8_TEM	Epi_CD8	Epi	CD8
127	ACE2_GHRL	Epi_FABP4.CD8_TRM	1	0	Epi_FABP4	CD8_TRM	Bladder_cDNA	Epi	CD8_TRM	Epi_CD8	Epi	CD8
128	ACE2_GHRL	Epi_FABP4.DC	1	0.026	Epi_FABP4	DC	Bladder_cDNA	Epi	DC	Epi_Myeloid	Epi	Myeloid
129	ACE2_GHRL	Epi_FABP4.Epi_FABP4	1	0	Epi_FABP4	Epi_FABP4	Bladder_cDNA	Epi	Epi	Epi_Epi	Epi	Epi
130	ACE2_GHRL	Epi_FABP4.Fib	1	0	Epi_FABP4	Fib	Bladder_cDNA	Epi	Fib	Epi_Fib	Epi	Fib
131	ACE2_GHRL	Epi_FABP4.FibSmo	1	0	Epi_FABP4	FibSmo	Bladder_cDNA	Epi	FibSmo	Epi_FibSmo	Epi	FibSmo
132	ACE2_GHRL	Epi_FABP4.Mac	1	0.009	Epi_FABP4	Mac	Bladder_cDNA	Epi	Mac	Epi_Myeloid	Epi	Myeloid
133	ACE2_GHRL	Epi_FABP4.Mon	1	0	Epi_FABP4	Mon	Bladder_cDNA	Epi	Mon	Epi_Myeloid	Epi	Myeloid
134	ACE2_GHRL	Epi_FABP4.NK	1	0	Epi_FABP4	NK	Bladder_cDNA	Epi	NK	Epi_NK	Epi	NK
135	ACE2_GHRL	Epi_FABP4.Smo	1	0	Epi_FABP4	Smo	Bladder_cDNA	Epi	Smo	Epi_Smo	Epi	Smo
136	ACE2_GHRL	Fib.BEC	1	0	Fib	BEC	Bladder_cDNA	Fib	BEC	Fib_Endo	Fib	Endo
137	ACE2_GHRL	Fib.CD4_TCM	1	0	Fib	CD4_TCM	Bladder_cDNA	Fib	CD4_TCM	Fib_CD4	Fib	CD4
138	ACE2_GHRL	Fib.CD4_Th1	1	0	Fib	CD4_Th1	Bladder_cDNA	Fib	CD4_Th1	Fib_CD4	Fib	CD4
139	ACE2_GHRL	Fib.CD4_TRM	1	0	Fib	CD4_TRM	Bladder_cDNA	Fib	CD4_TRM	Fib_CD4	Fib	CD4
140	ACE2_GHRL	Fib.CD8_TEFF	1	0	Fib	CD8_TEFF	Bladder_cDNA	Fib	CD8_TEFF	Fib_CD8	Fib	CD8
141	ACE2_GHRL	Fib.CD8_TEM	1	0	Fib	CD8_TEM	Bladder_cDNA	Fib	CD8_TEM	Fib_CD8	Fib	CD8
142	ACE2_GHRL	Fib.CD8_TRM	1	0	Fib	CD8_TRM	Bladder_cDNA	Fib	CD8_TRM	Fib_CD8	Fib	CD8
143	ACE2_GHRL	Fib.DC	1	0.022	Fib	DC	Bladder_cDNA	Fib	DC	Fib_Myeloid	Fib	Myeloid
144	ACE2_GHRL	Fib.Epi_FABP4	1	0	Fib	Epi_FABP4	Bladder_cDNA	Fib	Epi	Fib_Epi	Fib	Epi
145	ACE2_GHRL	Fib.Fib	1	0	Fib	Fib	Bladder_cDNA	Fib	Fib	Fib_Fib	Fib	Fib
146	ACE2_GHRL	Fib.FibSmo	1	0	Fib	FibSmo	Bladder_cDNA	Fib	FibSmo	Fib_FibSmo	Fib	FibSmo
147	ACE2_GHRL	Fib.Mac	1	0.005	Fib	Mac	Bladder_cDNA	Fib	Mac	Fib_Myeloid	Fib	Myeloid
148	ACE2_GHRL	Fib.Mon	1	0	Fib	Mon	Bladder_cDNA	Fib	Mon	Fib_Myeloid	Fib	Myeloid
149	ACE2_GHRL	Fib.NK	1	0	Fib	NK	Bladder_cDNA	Fib	NK	Fib_NK	Fib	NK
150	ACE2_GHRL	Fib.Smo	1	0	Fib	Smo	Bladder_cDNA	Fib	Smo	Fib_Smo	Fib	Smo
151	ACE2_GHRL	FibSmo.BEC	1	0	FibSmo	BEC	Bladder_cDNA	FibSmo	BEC	FibSmo_Endo	FibSmo	Endo
152	ACE2_GHRL	FibSmo.CD4_TCM	1	0	FibSmo	CD4_TCM	Bladder_cDNA	FibSmo	CD4_TCM	FibSmo_CD4	FibSmo	CD4
153	ACE2_GHRL	FibSmo.CD4_Th1	1	0	FibSmo	CD4_Th1	Bladder_cDNA	FibSmo	CD4_Th1	FibSmo_CD4	FibSmo	CD4
154	ACE2_GHRL	FibSmo.CD4_TRM	1	0	FibSmo	CD4_TRM	Bladder_cDNA	FibSmo	CD4_TRM	FibSmo_CD4	FibSmo	CD4
155	ACE2_GHRL	FibSmo.CD8_TEFF	1	0	FibSmo	CD8_TEFF	Bladder_cDNA	FibSmo	CD8_TEFF	FibSmo_CD8	FibSmo	CD8
156	ACE2_GHRL	FibSmo.CD8_TEM	1	0	FibSmo	CD8_TEM	Bladder_cDNA	FibSmo	CD8_TEM	FibSmo_CD8	FibSmo	CD8
157	ACE2_GHRL	FibSmo.CD8_TRM	1	0	FibSmo	CD8_TRM	Bladder_cDNA	FibSmo	CD8_TRM	FibSmo_CD8	FibSmo	CD8
158	ACE2_GHRL	FibSmo.DC	1	0	FibSmo	DC	Bladder_cDNA	FibSmo	DC	FibSmo_Myeloid	FibSmo	Myeloid
159	ACE2_GHRL	FibSmo.Epi_FABP4	1	0	FibSmo	Epi_FABP4	Bladder_cDNA	FibSmo	Epi	FibSmo_Epi	FibSmo	Epi
160	ACE2_GHRL	FibSmo.Fib	1	0	FibSmo	Fib	Bladder_cDNA	FibSmo	Fib	FibSmo_Fib	FibSmo	Fib
161	ACE2_GHRL	FibSmo.FibSmo	1	0	FibSmo	FibSmo	Bladder_cDNA	FibSmo	FibSmo	FibSmo_FibSmo	FibSmo	FibSmo
162	ACE2_GHRL	FibSmo.Mac	1	0	FibSmo	Mac	Bladder_cDNA	FibSmo	Mac	FibSmo_Myeloid	FibSmo	Myeloid
163	ACE2_GHRL	FibSmo.Mon	1	0	FibSmo	Mon	Bladder_cDNA	FibSmo	Mon	FibSmo_Myeloid	FibSmo	Myeloid
164	ACE2_GHRL	FibSmo.NK	1	0	FibSmo	NK	Bladder_cDNA	FibSmo	NK	FibSmo_NK	FibSmo	NK
165	ACE2_GHRL	FibSmo.Smo	1	0	FibSmo	Smo	Bladder_cDNA	FibSmo	Smo	FibSmo_Smo	FibSmo	Smo
166	ACE2_GHRL	Mac.BEC	1	0	Mac	BEC	Bladder_cDNA	Mac	BEC	Myeloid_Endo	Myeloid	Endo
167	ACE2_GHRL	Mac.CD4_TCM	1	0	Mac	CD4_TCM	Bladder_cDNA	Mac	CD4_TCM	Myeloid_CD4	Myeloid	CD4
168	ACE2_GHRL	Mac.CD4_Th1	1	0	Mac	CD4_Th1	Bladder_cDNA	Mac	CD4_Th1	Myeloid_CD4	Myeloid	CD4
169	ACE2_GHRL	Mac.CD4_TRM	1	0	Mac	CD4_TRM	Bladder_cDNA	Mac	CD4_TRM	Myeloid_CD4	Myeloid	CD4
